Working on data:  bbbp
1026 117 142 285
Starting upsampling for data: bbbp
Model loaded!!
DisentGNN(
  (gnn): MultiViewGCN(
    (conv1): GCNConv(9, 32)
    (conv2): GCNConv(32, 64)
    (conv3): GCNConv(64, 64)
    (lin1): Linear(in_features=64, out_features=32, bias=True)
    (lin2): Linear(in_features=32, out_features=64, bias=True)
  )
  (mlp_z1): Linear(in_features=64, out_features=16, bias=True)
  (mlp_z2): Linear(in_features=64, out_features=16, bias=True)
  (lin1): Linear(in_features=16, out_features=32, bias=True)
  (lin2): Linear(in_features=16, out_features=32, bias=True)
  (target_lin): Linear(in_features=32, out_features=1, bias=True)
  (sensitive_lin): Linear(in_features=32, out_features=9, bias=True)
  (layer_norm_1): LayerNorm((1,), eps=1e-05, elementwise_affine=True)
  (layer_norm_2): LayerNorm((9,), eps=1e-05, elementwise_affine=True)
  (layer_norm_3): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
  (batch_norm): BatchNorm1d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
Criterion name:  pair_loss_cos
/scratch/zheng/conda/envs/my_env/lib/python3.8/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
Epoch: 01, trloss: 1.4891, trroc: 0.5552, trf1: 0.0000, tracc: 0.5420, valloss: 0.7609, valroc: 0.5193, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7601, testroc_1: 0.5224, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7601, testroc_2: 0.3254, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 02, trloss: 1.4555, trroc: 0.5665, trf1: 0.0000, tracc: 0.5420, valloss: 0.7335, valroc: 0.5433, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7333, testroc_1: 0.5398, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7332, testroc_2: 0.3368, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 03, trloss: 1.4711, trroc: 0.5748, trf1: 0.0000, tracc: 0.5420, valloss: 0.7436, valroc: 0.5472, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7434, testroc_1: 0.5467, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7434, testroc_2: 0.3392, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 04, trloss: 1.4896, trroc: 0.5784, trf1: 0.0000, tracc: 0.5420, valloss: 0.7474, valroc: 0.5693, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7477, testroc_1: 0.5593, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7473, testroc_2: 0.3564, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 05, trloss: 1.4733, trroc: 0.5806, trf1: 0.0000, tracc: 0.5420, valloss: 0.7265, valroc: 0.5902, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7269, testroc_1: 0.5597, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7265, testroc_2: 0.3634, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 06, trloss: 1.4585, trroc: 0.5847, trf1: 0.0000, tracc: 0.5420, valloss: 0.7663, valroc: 0.6144, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7669, testroc_1: 0.5528, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7667, testroc_2: 0.3771, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 07, trloss: 1.4557, trroc: 0.5917, trf1: 0.0000, tracc: 0.5420, valloss: 0.7348, valroc: 0.6521, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7368, testroc_1: 0.5545, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7362, testroc_2: 0.4089, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 08, trloss: 1.4502, trroc: 0.6004, trf1: 0.0000, tracc: 0.5420, valloss: 0.7313, valroc: 0.6742, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7345, testroc_1: 0.5706, testf1_1: 0.0000, testacc_1: 0.1761, testloss_2: 0.7347, testroc_2: 0.4211, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 09, trloss: 1.4459, trroc: 0.6124, trf1: 0.0093, tracc: 0.5441, valloss: 0.7512, valroc: 0.6912, valf1: 0.0000, valacc: 0.1709, testloss_1: 0.7549, testroc_1: 0.5798, testf1_1: 0.0169, testacc_1: 0.1831, testloss_2: 0.7583, testroc_2: 0.4372, testf1_2: 0.0000, testacc_2: 0.1649.
Epoch: 10, trloss: 1.4387, trroc: 0.6298, trf1: 0.1026, tracc: 0.5607, valloss: 0.7404, valroc: 0.7160, valf1: 0.0971, valacc: 0.2051, testloss_1: 0.7468, testroc_1: 0.6089, testf1_1: 0.0820, testacc_1: 0.2113, testloss_2: 0.7553, testroc_2: 0.4740, testf1_2: 0.0167, testacc_2: 0.1719.
Epoch: 11, trloss: 1.4330, trroc: 0.6485, trf1: 0.2125, tracc: 0.5879, valloss: 0.7469, valroc: 0.7314, valf1: 0.3248, valacc: 0.3248, testloss_1: 0.7562, testroc_1: 0.6431, testf1_1: 0.2137, testacc_1: 0.2746, testloss_2: 0.7768, testroc_2: 0.5251, testf1_2: 0.0569, testacc_2: 0.1860.
